Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,pen,2.147,red,2.747,pen,3.0,sock,4.0,tables,5.0,hat,5.147,shoe,6.0,glove,6.0,bag,6.947,card,8.0,toy,8.0,tables,9.0,toy,9.347,hat,9.947,blue,11.0,shoe,11.0,card,12.0,pen,12.0
practice,0,Masker,none,2.297,none,2.897,none,3.347,none,3.947,none,4.547,none,5.297,none,5.747,none,6.347,none,7.097,none,7.547,none,8.147,none,8.747,none,9.497,none,10.097,none,10.547,none,11.147,none,11.747,none,12.347
practice,1,Target,desks,2.0,chairs,2.747,bag,3.347,spoons,3.947,sock,5.0,bag,5.147,white,6.0,pen,6.347,card,6.947,chairs,8.0,chairs,8.147,spoons,8.747,spoons,9.0,pen,10.0,spoons,11.0,shoe,11.0,pen,12.0,blue,12.0
practice,1,Masker,none,2.147,none,2.897,none,3.497,none,4.097,none,4.547,none,5.297,none,5.747,none,6.497,none,7.097,none,7.547,none,8.297,none,8.897,none,9.347,none,9.947,none,10.547,none,11.147,none,11.747,none,12.347
practice,2,Target,tables,2.0,toy,2.747,glove,3.0,tables,4.0,sock,5.0,blue,5.0,glove,6.0,pen,6.0,bag,6.947,red,8.0,bag,8.0,spoons,9.0,pen,9.0,white,10.0,spoons,11.0,sock,11.0,bag,11.747,glove,12.347
practice,2,Masker,none,2.147,none,2.897,none,3.347,none,3.947,none,4.547,none,5.147,none,5.747,none,6.347,none,7.097,none,7.547,none,8.147,none,8.747,none,9.347,none,9.947,none,10.547,none,11.147,none,11.897,none,12.497
practice,3,Target,shoe,2.0,bag,2.747,shoe,3.0,chairs,4.0,card,4.547,card,5.147,green,6.0,glove,6.0,tables,7.0,desks,7.547,bag,8.147,hat,8.747,tables,9.347,glove,9.947,desks,11.0,bag,11.0,card,12.0,blue,12.0
practice,3,Masker,none,2.147,none,2.897,none,3.347,none,3.947,none,4.697,none,5.297,none,5.747,none,6.347,none,6.947,none,7.697,none,8.297,none,8.897,none,9.497,none,10.097,none,10.547,none,11.147,none,11.747,none,12.347
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,sock,1.0,white,2.0,glove,3.0,tables,3.003,spoons,3.603,glove,4.0,green,4.803,sock,6.0,green,6.003,tables,6.603,shoe,7.203,tables,7.803,glove,8.403,white,9.0,bag,10.0,shoe,10.203,glove,11.0,pen,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,tables,1.203,glove,1.803,white,2.403,hat,3.153,sock,3.753,sock,4.203,glove,4.953,sock,5.403,bag,6.153,blue,6.753,glove,7.353,sock,7.953,tables,8.553,tables,9.003,sock,9.603,chairs,10.353,toy,10.803,white,11.403
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,desks,1.203,chairs,1.803,shoe,3.0,glove,3.003,card,3.603,tables,4.0,sock,5.0,chairs,6.0,pen,6.003,toy,6.603,white,7.203,card,8.0,pen,8.403,white,9.003,chairs,10.0,blue,10.0,blue,11.0,toy,11.403
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,glove,1.353,blue,1.953,chairs,2.403,desks,3.153,card,3.753,chairs,4.203,glove,4.803,red,5.403,green,6.153,card,6.753,shoe,7.353,spoons,7.803,chairs,8.553,glove,9.153,desks,9.603,pen,10.203,spoons,10.803,sock,11.553
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,tables,1.203,pen,2.0,desks,2.403,chairs,3.003,toy,3.603,card,4.203,bag,5.0,red,5.403,desks,6.0,bag,6.603,desks,7.0,white,8.0,card,9.0,sock,9.003,desks,10.0,sock,10.0,card,10.803,toy,11.403
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,green,1.353,toy,1.803,sock,2.553,bag,3.153,blue,3.753,chairs,4.353,toy,4.803,spoons,5.553,hat,6.003,green,6.753,shoe,7.203,hat,7.803,spoons,8.403,desks,9.153,pen,9.603,sock,10.203,glove,10.953,toy,11.553
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,desks,1.0,toy,1.803,desks,3.0,green,3.0,pen,3.603,chairs,4.0,pen,4.803,toy,5.403,shoe,6.003,white,7.0,toy,7.203,desks,8.0,spoons,9.0,toy,9.0,chairs,10.0,sock,10.203,chairs,10.803,card,12.0
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,blue,1.203,bag,1.953,sock,2.403,shoe,3.003,card,3.753,card,4.203,desks,4.953,blue,5.553,green,6.153,bag,6.603,card,7.353,glove,7.803,bag,8.403,desks,9.003,sock,9.603,toy,10.353,desks,10.953,chairs,11.403
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,blue,1.645,pen,2.0,white,2.845,hat,3.445,sock,4.045,toy,5.0,spoons,5.0,desks,5.845,pen,6.445,desks,7.045,desks,8.0,red,8.0,glove,8.845,toy,10.0,chairs,10.045,red,11.0,pen,11.0,spoons,12.0
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,bag,1.795,desks,2.245,glove,2.995,pen,3.595,toy,4.195,glove,4.645,tables,5.245,shoe,5.995,bag,6.595,spoons,7.195,desks,7.645,desks,8.245,spoons,8.995,chairs,9.445,green,10.195,card,10.645,green,11.245,sock,11.845
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,tables,2.0,chairs,2.0,bag,3.0,spoons,4.0,tables,4.045,blue,4.645,card,5.245,desks,5.845,tables,6.445,green,7.0,shoe,7.645,blue,8.0,card,9.0,card,10.0,bag,10.045,card,11.0,shoe,11.0,card,12.0
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,desks,1.645,toy,2.245,shoe,2.845,tables,3.445,desks,4.195,spoons,4.795,shoe,5.395,hat,5.995,chairs,6.595,card,7.045,spoons,7.795,desks,8.245,bag,8.845,hat,9.445,white,10.195,bag,10.645,white,11.245,toy,11.845
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,white,1.645,white,2.0,sock,2.845,glove,4.0,toy,4.0,pen,4.645,blue,5.245,sock,5.845,desks,6.445,shoe,7.0,glove,7.645,pen,8.0,chairs,8.845,glove,9.445,desks,10.045,desks,10.645,tables,11.245,bag,11.845
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,toy,1.795,toy,2.245,spoons,2.995,spoons,3.445,bag,4.045,glove,4.795,pen,5.395,desks,5.995,glove,6.595,white,7.045,bag,7.795,bag,8.245,shoe,8.995,shoe,9.595,shoe,10.195,sock,10.795,red,11.395,chairs,11.995
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,pen,1.645,hat,2.245,shoe,3.0,bag,4.0,white,4.045,blue,5.0,desks,5.245,desks,6.0,pen,6.445,bag,7.045,pen,8.0,chairs,8.245,desks,9.0,card,9.445,bag,10.0,sock,11.0,shoe,11.0,white,11.845
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,green,1.795,sock,2.395,card,2.845,spoons,3.445,pen,4.195,pen,4.645,toy,5.395,pen,5.845,tables,6.595,green,7.195,spoons,7.645,sock,8.395,bag,8.845,bag,9.595,sock,10.045,green,10.645,green,11.245,card,11.995
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,desks,2.0,hat,2.368,desks,2.968,blue,3.568,tables,4.0,chairs,4.768,pen,6.0,bag,6.0,desks,6.568,red,7.168,bag,8.0,bag,8.368,bag,8.968,bag,9.568,bag,10.168,blue,11.0,spoons,12.0,spoons,11.968
m_noise__ild_0__itd_50__targ_l__control_0,0,Masker,noise,1.768,noise,2.518,noise,3.118,noise,3.718,noise,4.168,noise,4.918,noise,5.368,noise,5.968,noise,6.718,noise,7.318,noise,7.768,noise,8.518,noise,9.118,noise,9.718,noise,10.318,noise,10.768,noise,11.368,noise,12.118
m_noise__ild_0__itd_50__targ_l__control_0,1,Target,glove,2.0,tables,3.0,shoe,3.0,toy,3.568,pen,4.168,chairs,5.0,green,6.0,sock,6.0,hat,7.0,blue,7.0,blue,8.0,shoe,8.368,pen,9.0,chairs,9.568,white,10.168,desks,11.0,card,11.368,hat,11.968
m_noise__ild_0__itd_50__targ_l__control_0,1,Masker,noise,1.768,noise,2.368,noise,2.968,noise,3.718,noise,4.318,noise,4.768,noise,5.368,noise,5.968,noise,6.568,noise,7.168,noise,7.768,noise,8.518,noise,8.968,noise,9.718,noise,10.318,noise,10.768,noise,11.518,noise,12.118
m_noise__ild_0__itd_50__targ_l__control_0,2,Target,blue,2.0,tables,2.368,bag,3.0,hat,4.0,hat,4.168,hat,4.768,blue,5.368,card,5.968,chairs,7.0,tables,7.168,hat,7.768,red,8.368,glove,9.0,hat,9.568,white,10.0,glove,11.0,chairs,12.0,chairs,11.968
m_noise__ild_0__itd_50__targ_l__control_0,2,Masker,noise,1.768,noise,2.518,noise,2.968,noise,3.568,noise,4.318,noise,4.918,noise,5.518,noise,6.118,noise,6.568,noise,7.318,noise,7.918,noise,8.518,noise,8.968,noise,9.718,noise,10.168,noise,10.768,noise,11.368,noise,12.118
m_noise__ild_0__itd_50__targ_l__control_0,3,Target,desks,2.0,white,2.368,hat,2.968,card,4.0,hat,4.168,desks,4.768,desks,5.368,red,6.0,tables,6.568,chairs,7.168,hat,8.0,blue,8.368,sock,8.968,bag,9.568,desks,10.168,tables,10.768,shoe,12.0,blue,11.968
m_noise__ild_0__itd_50__targ_l__control_0,3,Masker,noise,1.768,noise,2.518,noise,3.118,noise,3.568,noise,4.318,noise,4.918,noise,5.518,noise,5.968,noise,6.718,noise,7.318,noise,7.768,noise,8.518,noise,9.118,noise,9.718,noise,10.318,noise,10.918,noise,11.368,noise,12.118
m_noise__ild_0__itd_50__targ_r__control_0,0,Target,desks,2.0,pen,3.0,hat,3.443,card,4.043,pen,4.643,bag,5.243,chairs,6.0,hat,7.0,shoe,7.0,card,8.0,red,8.0,chairs,8.843,glove,9.443,hat,10.043,green,11.0,white,11.0,desks,11.843,desks,13.0
m_noise__ild_0__itd_50__targ_r__control_0,0,Masker,noise,2.243,noise,2.843,noise,3.593,noise,4.193,noise,4.793,noise,5.393,noise,5.843,noise,6.443,noise,7.043,noise,7.643,noise,8.243,noise,8.993,noise,9.593,noise,10.193,noise,10.643,noise,11.243,noise,11.993,noise,12.443
m_noise__ild_0__itd_50__targ_r__control_0,1,Target,pen,2.243,white,2.843,chairs,3.443,glove,4.043,tables,4.643,spoons,5.243,shoe,5.843,spoons,7.0,card,7.043,tables,7.643,pen,8.0,chairs,9.0,red,9.443,tables,10.043,chairs,11.0,desks,11.243,toy,12.0,red,13.0
m_noise__ild_0__itd_50__targ_r__control_0,1,Masker,noise,2.393,noise,2.993,noise,3.593,noise,4.193,noise,4.793,noise,5.393,noise,5.993,noise,6.443,noise,7.193,noise,7.793,noise,8.243,noise,8.843,noise,9.593,noise,10.193,noise,10.643,noise,11.393,noise,11.843,noise,12.443
m_noise__ild_0__itd_50__targ_r__control_0,2,Target,white,2.0,tables,2.843,bag,4.0,sock,4.0,glove,4.643,toy,5.0,pen,5.843,toy,6.443,shoe,7.0,toy,7.643,shoe,8.0,green,9.0,shoe,10.0,tables,10.043,white,11.0,shoe,11.243,sock,12.0,bag,13.0
m_noise__ild_0__itd_50__targ_r__control_0,2,Masker,noise,2.243,noise,2.993,noise,3.443,noise,4.043,noise,4.793,noise,5.243,noise,5.993,noise,6.593,noise,7.043,noise,7.793,noise,8.243,noise,8.843,noise,9.443,noise,10.193,noise,10.643,noise,11.393,noise,11.843,noise,12.443
m_noise__ild_0__itd_50__targ_r__control_0,3,Target,pen,2.243,glove,3.0,spoons,3.443,toy,4.043,green,4.643,desks,5.0,pen,6.0,card,6.443,glove,7.0,spoons,8.0,pen,8.0,pen,8.843,pen,10.0,blue,10.0,spoons,10.643,desks,11.0,white,12.0,card,12.443
m_noise__ild_0__itd_50__targ_r__control_0,3,Masker,noise,2.393,noise,2.843,noise,3.593,noise,4.193,noise,4.793,noise,5.243,noise,5.843,noise,6.593,noise,7.043,noise,7.643,noise,8.243,noise,8.993,noise,9.443,noise,10.043,noise,10.793,noise,11.243,noise,11.843,noise,12.593
m_speech__ild_0__itd_500__targ_l__control_0,0,Target,spoons,2.0,toy,2.906,green,4.0,hat,4.106,pen,5.0,chairs,5.0,red,6.0,blue,7.0,toy,7.106,spoons,8.0,toy,8.0,shoe,9.0,desks,10.0,spoons,10.106,pen,10.706,shoe,11.0,pen,11.906,pen,13.0
m_speech__ild_0__itd_500__targ_l__control_0,0,Masker,pen,2.306,glove,3.056,spoons,3.506,desks,4.256,card,4.706,blue,5.306,bag,5.906,pen,6.506,chairs,7.256,bag,7.706,green,8.306,tables,8.906,chairs,9.506,blue,10.256,chairs,10.856,chairs,11.306,sock,12.056,hat,12.506
m_speech__ild_0__itd_500__targ_l__control_0,1,Target,desks,2.306,hat,2.906,toy,3.506,glove,4.0,tables,4.706,hat,5.0,shoe,6.0,desks,7.0,shoe,7.0,tables,8.0,shoe,8.306,blue,8.906,bag,10.0,bag,10.0,glove,11.0,shoe,11.306,sock,11.906,white,12.506
m_speech__ild_0__itd_500__targ_l__control_0,1,Masker,spoons,2.456,toy,3.056,pen,3.656,glove,4.106,shoe,4.856,card,5.306,card,5.906,glove,6.506,blue,7.106,bag,7.706,toy,8.456,glove,9.056,toy,9.506,desks,10.106,card,10.706,hat,11.456,blue,12.056,shoe,12.656
m_speech__ild_0__itd_500__targ_l__control_0,2,Target,desks,2.306,white,2.906,red,3.506,shoe,4.106,desks,4.706,tables,5.0,hat,6.0,chairs,7.0,tables,7.106,pen,7.706,hat,8.306,shoe,8.906,red,10.0,desks,10.0,spoons,10.706,hat,11.306,red,12.0,card,13.0
m_speech__ild_0__itd_500__targ_l__control_0,2,Masker,chairs,2.456,toy,3.056,toy,3.656,spoons,4.256,white,4.856,glove,5.306,bag,5.906,white,6.506,bag,7.256,blue,7.856,tables,8.456,glove,9.056,shoe,9.506,desks,10.106,glove,10.856,tables,11.456,spoons,11.906,chairs,12.506
m_speech__ild_0__itd_500__targ_l__control_0,3,Target,desks,2.0,card,3.0,toy,3.506,blue,4.0,card,5.0,red,5.306,chairs,6.0,toy,7.0,desks,7.0,toy,7.706,spoons,8.306,shoe,8.906,desks,9.506,white,10.106,bag,11.0,card,11.306,shoe,12.0,sock,13.0
m_speech__ild_0__itd_500__targ_l__control_0,3,Masker,toy,2.306,spoons,2.906,toy,3.656,pen,4.106,spoons,4.706,toy,5.456,card,5.906,tables,6.506,green,7.106,blue,7.856,red,8.456,spoons,9.056,chairs,9.656,chairs,10.256,spoons,10.706,card,11.456,chairs,11.906,blue,12.506
m_speech__ild_0__itd_500__targ_r__control_0,0,Target,toy,2.0,blue,2.462,green,3.062,hat,4.0,tables,4.262,spoons,5.0,desks,5.462,spoons,6.0,pen,6.662,pen,7.0,card,8.0,spoons,8.462,tables,9.062,card,10.0,tables,10.262,blue,11.0,tables,11.462,desks,12.062
m_speech__ild_0__itd_500__targ_r__control_0,0,Masker,shoe,1.862,pen,2.612,spoons,3.212,glove,3.662,glove,4.412,shoe,4.862,shoe,5.612,green,6.062,desks,6.812,toy,7.262,bag,7.862,tables,8.612,spoons,9.212,red,9.662,sock,10.412,spoons,10.862,glove,11.612,glove,12.212
m_speech__ild_0__itd_500__targ_r__control_0,1,Target,spoons,2.0,chairs,3.0,white,3.0,desks,4.0,blue,4.0,pen,5.0,card,6.0,pen,6.0,green,7.0,glove,7.262,pen,8.0,desks,9.0,pen,9.0,sock,10.0,red,10.0,shoe,11.0,shoe,11.462,hat,12.0
m_speech__ild_0__itd_500__targ_r__control_0,1,Masker,white,1.862,spoons,2.462,glove,3.062,glove,3.662,spoons,4.262,spoons,4.862,white,5.462,blue,6.062,pen,6.662,green,7.412,bag,7.862,pen,8.462,sock,9.062,chairs,9.662,sock,10.262,desks,10.862,desks,11.612,tables,12.062
