Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,blue,2.624,white,3.0,spoons,3.824,bag,4.424,hat,5.024,card,5.624,spoons,6.224,tables,7.0,tables,8.0,chairs,8.024,green,8.624,hat,9.0,tables,10.0,white,10.424,desks,11.024,desks,11.624,glove,12.224,toy,13.0
practice,0,Masker,none,2.774,none,3.224,none,3.974,none,4.574,none,5.174,none,5.774,none,6.374,none,6.824,none,7.424,none,8.174,none,8.774,none,9.224,none,9.824,none,10.574,none,11.174,none,11.774,none,12.374,none,12.824
practice,1,Target,red,2.624,glove,3.0,hat,3.824,card,5.0,bag,5.0,green,6.0,tables,6.0,card,6.824,hat,8.0,toy,8.024,toy,9.0,shoe,9.0,card,10.0,tables,10.424,shoe,11.0,card,11.624,sock,12.0,bag,13.0
practice,1,Masker,none,2.774,none,3.224,none,3.974,none,4.424,none,5.024,none,5.624,none,6.224,none,6.974,none,7.424,none,8.174,none,8.624,none,9.224,none,9.824,none,10.574,none,11.024,none,11.774,none,12.224,none,12.824
practice,2,Target,blue,2.624,glove,3.0,blue,4.0,shoe,5.0,bag,5.0,bag,6.0,glove,6.224,desks,7.0,chairs,8.0,bag,8.024,bag,9.0,hat,9.224,hat,9.824,toy,11.0,hat,11.0,hat,11.624,glove,12.224,white,12.824
practice,2,Masker,none,2.774,none,3.224,none,3.824,none,4.424,none,5.024,none,5.624,none,6.374,none,6.824,none,7.424,none,8.174,none,8.624,none,9.374,none,9.974,none,10.424,none,11.024,none,11.774,none,12.374,none,12.974
practice,3,Target,white,2.624,tables,3.0,spoons,3.824,shoe,4.424,red,5.0,desks,6.0,chairs,6.0,pen,6.824,desks,8.0,red,8.024,desks,9.0,pen,9.0,tables,10.0,glove,10.424,sock,11.024,card,11.624,blue,12.0,shoe,12.824
practice,3,Masker,none,2.774,none,3.224,none,3.974,none,4.574,none,5.024,none,5.624,none,6.224,none,6.974,none,7.424,none,8.174,none,8.624,none,9.224,none,9.824,none,10.574,none,11.174,none,11.774,none,12.224,none,12.974
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,toy,2.0,tables,2.1,spoons,3.0,glove,3.0,blue,3.9,shoe,4.5,red,5.1,chairs,6.0,sock,6.0,shoe,6.9,sock,8.0,white,8.1,toy,8.7,green,9.3,pen,10.0,bag,10.5,pen,11.0,hat,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,chairs,1.5,hat,2.25,toy,2.7,tables,3.3,card,4.05,red,4.65,sock,5.25,sock,5.7,chairs,6.3,sock,7.05,tables,7.5,sock,8.25,green,8.85,chairs,9.45,card,9.9,spoons,10.65,glove,11.1,tables,11.7
