Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,chairs,3.0,shoe,3.451,hat,4.051,toy,4.651,bag,5.251,card,5.851,bag,7.0,tables,7.051,chairs,7.651,green,8.251,glove,9.0,pen,10.0,toy,10.0,red,11.0,tables,11.251,glove,12.0,toy,12.451,spoons,13.051
practice,0,Masker,none,2.851,none,3.601,none,4.201,none,4.801,none,5.401,none,6.001,none,6.451,none,7.201,none,7.801,none,8.401,none,8.851,none,9.451,none,10.051,none,10.651,none,11.401,none,11.851,none,12.601,none,13.201
practice,1,Target,spoons,3.0,card,4.0,desks,4.051,pen,5.0,toy,5.0,card,5.851,tables,7.0,chairs,7.0,white,8.0,pen,8.0,card,9.0,blue,9.451,desks,10.0,chairs,11.0,card,11.0,bag,12.0,red,13.0,card,13.0
practice,1,Masker,none,2.851,none,3.451,none,4.201,none,4.651,none,5.251,none,6.001,none,6.451,none,7.051,none,7.651,none,8.251,none,8.851,none,9.601,none,10.051,none,10.651,none,11.251,none,11.851,none,12.451,none,13.051
practice,2,Target,sock,3.0,tables,4.0,sock,4.0,toy,4.651,hat,5.251,toy,5.851,red,7.0,shoe,7.0,toy,7.651,desks,8.251,desks,8.851,tables,10.0,desks,10.051,red,10.651,desks,11.251,desks,11.851,hat,12.451,tables,13.051
practice,2,Masker,none,2.851,none,3.451,none,4.051,none,4.801,none,5.401,none,6.001,none,6.451,none,7.051,none,7.801,none,8.401,none,9.001,none,9.451,none,10.201,none,10.801,none,11.401,none,12.001,none,12.601,none,13.201
practice,3,Target,hat,2.851,chairs,3.451,sock,4.0,hat,5.0,tables,5.251,toy,5.851,desks,7.0,pen,7.0,blue,7.651,white,8.251,bag,9.0,shoe,10.0,chairs,10.0,hat,10.651,chairs,11.251,chairs,11.851,green,13.0,spoons,13.051
practice,3,Masker,none,3.001,none,3.601,none,4.051,none,4.651,none,5.401,none,6.001,none,6.451,none,7.051,none,7.801,none,8.401,none,8.851,none,9.451,none,10.051,none,10.801,none,11.401,none,12.001,none,12.451,none,13.201
m_speech__ild_0__itd_50__targ_l,0,Target,tables,1.306,chairs,1.906,blue,3.0,pen,3.106,white,3.706,blue,4.0,pen,5.0,glove,5.506,pen,6.106,bag,6.706,tables,7.306,pen,8.0,hat,8.506,spoons,9.0,toy,10.0,pen,10.306,tables,10.906,green,11.506
m_speech__ild_0__itd_50__targ_l,0,Masker,desks,1.456,red,2.056,spoons,2.506,glove,3.256,chairs,3.856,card,4.306,tables,4.906,toy,5.656,tables,6.256,tables,6.856,blue,7.456,chairs,7.906,glove,8.656,card,9.106,toy,9.706,tables,10.456,chairs,11.056,tables,11.656
m_speech__ild_0__itd_50__targ_l,1,Target,pen,1.0,toy,1.906,toy,2.506,card,3.106,desks,4.0,sock,4.0,chairs,5.0,desks,5.506,white,6.0,white,7.0,bag,7.0,sock,7.906,bag,8.506,red,9.106,tables,10.0,toy,10.306,sock,11.0,tables,11.506
m_speech__ild_0__itd_50__targ_l,1,Masker,spoons,1.306,toy,2.056,bag,2.656,sock,3.256,hat,3.706,blue,4.306,sock,4.906,glove,5.656,tables,6.106,toy,6.706,green,7.306,shoe,8.056,blue,8.656,tables,9.256,pen,9.706,red,10.456,tables,10.906,toy,11.656
m_speech__ild_0__itd_50__targ_l,2,Target,white,1.0,pen,2.0,spoons,3.0,green,3.0,spoons,3.706,chairs,4.0,card,4.906,hat,5.506,bag,6.106,shoe,7.0,hat,7.0,bag,7.906,hat,8.506,hat,9.0,tables,9.706,red,10.0,bag,11.0,pen,11.506
m_speech__ild_0__itd_50__targ_l,2,Masker,hat,1.306,bag,1.906,desks,2.506,hat,3.106,pen,3.856,shoe,4.306,bag,5.056,red,5.656,green,6.256,green,6.706,hat,7.306,shoe,8.056,bag,8.656,red,9.106,bag,9.856,shoe,10.306,desks,10.906,spoons,11.656
m_speech__ild_0__itd_50__targ_l,3,Target,white,1.0,tables,1.906,blue,3.0,toy,3.106,tables,3.706,sock,4.306,tables,5.0,card,6.0,bag,6.0,hat,7.0,tables,7.306,red,8.0,pen,9.0,glove,9.0,toy,10.0,tables,10.0,glove,11.0,red,11.506
m_speech__ild_0__itd_50__targ_l,3,Masker,toy,1.306,tables,2.056,sock,2.506,green,3.256,pen,3.856,shoe,4.456,white,4.906,glove,5.506,sock,6.106,blue,6.706,red,7.456,tables,7.906,desks,8.506,toy,9.106,shoe,9.706,toy,10.306,hat,10.906,tables,11.656
m_speech__ild_0__itd_50__targ_r,0,Target,glove,3.0,white,3.0,shoe,3.739,desks,4.339,tables,5.0,green,5.539,shoe,6.0,glove,7.0,pen,7.0,red,7.939,hat,8.539,bag,9.0,chairs,10.0,sock,10.0,pen,10.939,hat,12.0,pen,12.0,desks,13.0
m_speech__ild_0__itd_50__targ_r,0,Masker,green,2.539,card,3.139,hat,3.889,shoe,4.489,blue,4.939,tables,5.689,blue,6.139,toy,6.739,spoons,7.339,card,8.089,sock,8.689,shoe,9.139,card,9.739,chairs,10.339,blue,11.089,glove,11.539,tables,12.139,glove,12.739
m_speech__ild_0__itd_50__targ_r,1,Target,spoons,3.0,spoons,3.0,hat,3.739,hat,4.339,toy,4.939,hat,6.0,bag,6.0,spoons,7.0,glove,7.339,red,7.939,glove,9.0,card,9.0,spoons,9.739,bag,10.0,card,10.939,sock,12.0,glove,12.139,blue,12.739
m_speech__ild_0__itd_50__targ_r,1,Masker,pen,2.539,desks,3.139,chairs,3.889,red,4.489,hat,5.089,bag,5.539,glove,6.139,toy,6.739,red,7.489,chairs,8.089,spoons,8.539,red,9.139,desks,9.889,spoons,10.339,sock,11.089,green,11.539,desks,12.289,hat,12.889
m_speech__ild_0__itd_50__targ_r,2,Target,shoe,3.0,white,3.0,toy,4.0,glove,4.0,blue,5.0,bag,6.0,shoe,6.139,card,7.0,hat,7.0,card,8.0,spoons,9.0,spoons,9.139,chairs,10.0,tables,10.0,shoe,11.0,glove,12.0,hat,12.0,spoons,13.0
m_speech__ild_0__itd_50__targ_r,2,Masker,spoons,2.539,spoons,3.139,desks,3.739,white,4.339,spoons,4.939,desks,5.539,spoons,6.289,bag,6.739,desks,7.339,desks,7.939,red,8.539,tables,9.289,toy,9.739,spoons,10.339,bag,10.939,tables,11.539,tables,12.139,tables,12.739
m_speech__ild_0__itd_50__targ_r,3,Target,shoe,2.539,shoe,3.139,tables,4.0,glove,4.339,sock,4.939,tables,5.539,blue,6.139,sock,6.739,card,7.0,bag,7.939,toy,9.0,spoons,9.139,desks,9.739,glove,10.339,green,11.0,desks,11.539,pen,12.0,white,12.739
m_speech__ild_0__itd_50__targ_r,3,Masker,tables,2.689,white,3.289,blue,3.739,sock,4.489,pen,5.089,glove,5.689,spoons,6.289,spoons,6.889,toy,7.339,white,8.089,chairs,8.539,blue,9.289,hat,9.889,shoe,10.489,chairs,10.939,spoons,11.689,card,12.139,bag,12.889
m_noise__ild_0__itd_50__targ_l,0,Target,blue,3.0,spoons,3.0,sock,3.871,toy,5.0,sock,5.071,desks,6.0,spoons,6.271,card,7.0,shoe,7.471,card,8.071,sock,9.0,red,9.0,chairs,9.871,red,11.0,glove,11.0,card,11.671,sock,12.271,toy,12.871
m_noise__ild_0__itd_50__targ_l,0,Masker,noise,2.671,noise,3.271,noise,4.021,noise,4.471,noise,5.221,noise,5.671,noise,6.421,noise,6.871,noise,7.621,noise,8.221,noise,8.671,noise,9.271,noise,10.021,noise,10.471,noise,11.071,noise,11.821,noise,12.421,noise,13.021
m_noise__ild_0__itd_50__targ_l,1,Target,pen,3.0,sock,3.271,spoons,3.871,sock,4.471,tables,5.071,red,5.671,shoe,6.271,desks,6.871,card,8.0,pen,8.071,hat,9.0,chairs,9.0,hat,9.871,card,11.0,hat,11.071,sock,12.0,white,12.271,hat,13.0
m_noise__ild_0__itd_50__targ_l,1,Masker,noise,2.671,noise,3.421,noise,4.021,noise,4.621,noise,5.221,noise,5.821,noise,6.421,noise,7.021,noise,7.471,noise,8.221,noise,8.671,noise,9.271,noise,10.021,noise,10.471,noise,11.221,noise,11.671,noise,12.421,noise,12.871
m_noise__ild_0__itd_50__targ_l,2,Target,chairs,3.0,pen,3.0,bag,4.0,tables,5.0,card,5.071,red,5.671,blue,6.271,bag,6.871,hat,7.471,glove,8.071,bag,8.671,card,9.0,sock,9.871,chairs,10.471,bag,11.0,glove,12.0,card,12.0,spoons,12.871
m_noise__ild_0__itd_50__targ_l,2,Masker,noise,2.671,noise,3.271,noise,3.871,noise,4.471,noise,5.221,noise,5.821,noise,6.421,noise,7.021,noise,7.621,noise,8.221,noise,8.821,noise,9.271,noise,10.021,noise,10.621,noise,11.071,noise,11.671,noise,12.271,noise,13.021
m_noise__ild_0__itd_50__targ_l,3,Target,pen,2.671,red,3.0,spoons,3.871,hat,5.0,glove,5.071,chairs,5.671,glove,6.271,chairs,7.0,shoe,7.471,desks,8.071,shoe,8.671,hat,9.271,chairs,10.0,toy,11.0,hat,11.0,chairs,12.0,white,12.0,hat,12.871
m_noise__ild_0__itd_50__targ_l,3,Masker,noise,2.821,noise,3.271,noise,4.021,noise,4.471,noise,5.221,noise,5.821,noise,6.421,noise,6.871,noise,7.621,noise,8.221,noise,8.821,noise,9.421,noise,9.871,noise,10.471,noise,11.071,noise,11.671,noise,12.271,noise,13.021
m_noise__ild_0__itd_50__targ_r,0,Target,sock,1.0,shoe,2.0,desks,3.0,pen,3.0,toy,3.6,sock,4.2,white,5.0,shoe,5.4,white,6.0,hat,7.0,tables,7.2,glove,7.8,shoe,9.0,card,9.0,desks,10.0,spoons,10.2,sock,10.8,hat,11.4
m_noise__ild_0__itd_50__targ_r,0,Masker,noise,1.2,noise,1.8,noise,2.4,noise,3.15,noise,3.75,noise,4.35,noise,4.8,noise,5.55,noise,6.0,noise,6.6,noise,7.35,noise,7.95,noise,8.4,noise,9.0,noise,9.6,noise,10.35,noise,10.95,noise,11.55
m_noise__ild_0__itd_50__targ_r,1,Target,desks,1.0,white,1.8,sock,3.0,tables,3.0,desks,3.6,sock,4.0,card,5.0,red,5.4,desks,6.0,hat,7.0,desks,7.0,desks,7.8,white,9.0,hat,9.0,shoe,10.0,hat,10.2,hat,11.0,desks,12.0
m_noise__ild_0__itd_50__targ_r,1,Masker,noise,1.2,noise,1.95,noise,2.4,noise,3.0,noise,3.75,noise,4.2,noise,4.8,noise,5.55,noise,6.0,noise,6.6,noise,7.2,noise,7.95,noise,8.4,noise,9.0,noise,9.6,noise,10.35,noise,10.8,noise,11.4
m_noise__ild_0__itd_50__targ_r,2,Target,tables,1.0,chairs,2.0,shoe,2.4,red,3.0,shoe,4.0,chairs,4.2,green,4.8,bag,5.4,toy,6.0,tables,7.0,white,7.0,chairs,8.0,pen,9.0,tables,9.0,desks,9.6,card,10.2,sock,11.0,spoons,12.0
m_noise__ild_0__itd_50__targ_r,2,Masker,noise,1.2,noise,1.8,noise,2.55,noise,3.15,noise,3.6,noise,4.35,noise,4.95,noise,5.55,noise,6.0,noise,6.6,noise,7.2,noise,7.8,noise,8.4,noise,9.0,noise,9.75,noise,10.35,noise,10.8,noise,11.4
m_noise__ild_0__itd_50__targ_r,3,Target,bag,1.0,hat,1.8,white,3.0,sock,3.0,chairs,3.6,shoe,4.2,desks,4.8,red,5.4,chairs,6.0,card,6.6,hat,7.2,desks,8.0,bag,9.0,sock,9.0,tables,9.6,blue,10.2,spoons,11.0,pen,12.0
