Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,spoons,1.094,card,2.0,red,2.294,white,2.894,bag,4.0,bag,4.0,bag,5.0,bag,5.294,spoons,5.894,tables,6.494,bag,7.0,toy,7.694,sock,8.294,blue,9.0,card,10.0,tables,10.094,toy,10.694,glove,11.0
practice,0,Masker,none,1.244,none,1.694,none,2.444,none,3.044,none,3.494,none,4.094,none,4.694,none,5.444,none,6.044,none,6.644,none,7.094,none,7.844,none,8.444,none,8.894,none,9.494,none,10.244,none,10.844,none,11.294
practice,1,Target,spoons,1.0,shoe,1.694,toy,2.294,spoons,3.0,card,3.494,hat,4.094,white,5.0,white,5.0,spoons,6.0,white,6.494,glove,7.0,pen,8.0,shoe,8.294,glove,8.894,pen,10.0,card,10.094,desks,10.694,red,11.294
practice,1,Masker,none,1.094,none,1.844,none,2.444,none,2.894,none,3.644,none,4.244,none,4.694,none,5.294,none,5.894,none,6.644,none,7.094,none,7.694,none,8.444,none,9.044,none,9.494,none,10.244,none,10.844,none,11.444
practice,2,Target,spoons,1.094,pen,2.0,shoe,2.0,sock,3.0,card,3.494,red,4.094,hat,4.694,sock,5.0,shoe,5.894,white,6.494,sock,7.094,shoe,7.694,desks,8.294,glove,8.894,bag,10.0,shoe,10.094,white,10.694,shoe,11.0
practice,2,Masker,none,1.244,none,1.694,none,2.294,none,2.894,none,3.644,none,4.244,none,4.844,none,5.294,none,6.044,none,6.644,none,7.244,none,7.844,none,8.444,none,9.044,none,9.494,none,10.244,none,10.844,none,11.294
practice,3,Target,toy,1.094,spoons,2.0,blue,2.294,hat,2.894,tables,3.494,bag,4.0,tables,5.0,toy,5.294,shoe,5.894,pen,6.494,green,7.0,desks,8.0,spoons,8.294,tables,9.0,shoe,9.494,toy,10.0,toy,10.694,desks,11.0
practice,3,Masker,none,1.244,none,1.694,none,2.444,none,3.044,none,3.644,none,4.094,none,4.694,none,5.444,none,6.044,none,6.644,none,7.094,none,7.694,none,8.444,none,8.894,none,9.644,none,10.094,none,10.844,none,11.294
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,hat,1.0,tables,2.0,card,2.37,toy,3.0,desks,4.0,blue,4.0,green,5.0,desks,6.0,desks,6.0,desks,6.57,toy,7.17,shoe,7.77,toy,9.0,desks,8.97,chairs,9.57,desks,10.0,red,11.0,card,11.37
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,sock,1.17,shoe,1.77,bag,2.52,spoons,2.97,shoe,3.57,toy,4.17,desks,4.77,pen,5.37,spoons,5.97,sock,6.72,pen,7.32,desks,7.92,tables,8.37,white,9.12,bag,9.72,blue,10.17,desks,10.77,white,11.52
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,card,1.0,hat,2.0,card,2.37,toy,2.97,toy,4.0,hat,4.0,green,5.0,spoons,6.0,glove,6.0,white,6.57,card,7.17,blue,8.0,glove,9.0,white,9.0,pen,10.0,tables,10.17,glove,10.77,shoe,12.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,toy,1.17,glove,1.77,pen,2.52,card,3.12,sock,3.57,toy,4.17,toy,4.77,pen,5.37,spoons,5.97,chairs,6.72,glove,7.32,glove,7.77,red,8.37,pen,8.97,green,9.57,card,10.32,toy,10.92,glove,11.37
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,blue,1.0,spoons,1.77,tables,3.0,sock,2.97,shoe,3.57,white,4.0,blue,4.77,glove,5.37,card,6.0,white,6.57,spoons,7.0,chairs,7.77,card,9.0,bag,9.0,pen,10.0,sock,10.17,chairs,11.0,desks,11.37
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,spoons,1.17,card,1.92,blue,2.37,card,3.12,spoons,3.72,toy,4.17,pen,4.92,white,5.52,toy,5.97,pen,6.72,hat,7.17,red,7.92,bag,8.37,red,8.97,card,9.57,bag,10.32,glove,10.77,pen,11.52
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,toy,1.0,shoe,1.77,toy,3.0,shoe,3.0,pen,3.57,blue,4.0,toy,5.0,glove,6.0,tables,5.97,toy,7.0,pen,7.17,tables,7.77,shoe,8.37,desks,8.97,chairs,9.57,white,10.0,spoons,11.0,glove,12.0
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,bag,1.17,pen,1.92,sock,2.37,toy,2.97,spoons,3.72,chairs,4.17,shoe,4.77,shoe,5.37,blue,6.12,chairs,6.57,shoe,7.32,shoe,7.92,glove,8.52,chairs,9.12,sock,9.72,tables,10.17,red,10.77,green,11.37
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,chairs,1.0,spoons,2.0,hat,2.312,bag,3.0,toy,4.0,spoons,4.112,hat,5.0,pen,5.312,card,6.0,blue,7.0,desks,7.112,green,8.0,shoe,8.312,green,8.912,shoe,9.512,green,10.112,chairs,11.0,desks,11.312
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,glove,1.112,desks,1.712,white,2.462,spoons,2.912,toy,3.512,green,4.262,shoe,4.712,chairs,5.462,white,5.912,chairs,6.512,white,7.262,toy,7.712,toy,8.462,bag,9.062,toy,9.662,sock,10.262,card,10.712,toy,11.462
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,red,1.0,spoons,2.0,glove,2.312,desks,2.912,card,4.0,pen,4.112,chairs,5.0,hat,5.0,pen,6.0,hat,6.512,glove,7.0,bag,7.712,chairs,8.312,glove,9.0,blue,9.512,white,10.112,blue,10.712,shoe,11.0
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,chairs,1.112,sock,1.712,card,2.462,green,3.062,bag,3.512,chairs,4.262,card,4.712,desks,5.312,card,5.912,red,6.662,toy,7.112,red,7.862,tables,8.462,blue,8.912,card,9.662,glove,10.262,toy,10.862,bag,11.312
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,tables,1.112,shoe,1.712,red,2.0,desks,2.912,hat,3.512,hat,4.112,toy,5.0,bag,5.0,shoe,6.0,white,7.0,card,7.0,shoe,7.712,sock,8.312,bag,8.912,pen,10.0,shoe,10.112,desks,11.0,spoons,11.312
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,chairs,1.262,blue,1.862,tables,2.312,green,3.062,sock,3.662,pen,4.262,pen,4.712,pen,5.312,chairs,5.912,bag,6.512,tables,7.112,chairs,7.862,chairs,8.462,toy,9.062,desks,9.512,blue,10.262,red,10.712,hat,11.462
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,glove,1.0,chairs,2.0,tables,2.0,pen,2.912,chairs,4.0,hat,4.0,bag,5.0,green,5.0,white,6.0,toy,6.512,desks,7.112,shoe,8.0,white,8.312,tables,8.912,glove,9.512,green,10.112,desks,10.712,toy,11.0
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,chairs,1.112,toy,1.712,pen,2.312,white,3.062,desks,3.512,card,4.112,white,4.712,pen,5.312,chairs,5.912,desks,6.662,shoe,7.262,tables,7.712,glove,8.462,toy,9.062,bag,9.662,sock,10.262,card,10.862,shoe,11.312
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,sock,1.558,glove,2.0,red,3.0,green,3.358,pen,3.958,desks,5.0,shoe,5.158,spoons,6.0,sock,6.358,sock,7.0,sock,8.0,spoons,8.0,card,8.758,pen,9.358,card,9.958,desks,11.0,pen,11.0,shoe,12.0
m_noise__ild_0__itd_50__targ_l__control_0,0,Masker,noise,1.708,noise,2.158,noise,2.758,noise,3.508,noise,4.108,noise,4.558,noise,5.308,noise,5.758,noise,6.508,noise,6.958,noise,7.558,noise,8.158,noise,8.908,noise,9.508,noise,10.108,noise,10.558,noise,11.158,noise,11.758
m_noise__ild_0__itd_50__targ_l__control_0,1,Target,toy,2.0,desks,2.158,toy,2.758,green,4.0,tables,3.958,chairs,4.558,desks,5.0,sock,6.0,tables,7.0,desks,7.0,bag,7.558,white,8.0,hat,9.0,white,9.358,bag,9.958,spoons,11.0,shoe,11.0,pen,12.0
m_noise__ild_0__itd_50__targ_l__control_0,1,Masker,noise,1.558,noise,2.308,noise,2.908,noise,3.358,noise,4.108,noise,4.708,noise,5.158,noise,5.758,noise,6.358,noise,6.958,noise,7.708,noise,8.158,noise,8.758,noise,9.508,noise,10.108,noise,10.558,noise,11.158,noise,11.758
m_noise__ild_0__itd_50__targ_l__control_0,2,Target,tables,2.0,red,2.158,sock,2.758,hat,3.358,chairs,4.0,red,4.558,glove,5.0,white,6.0,chairs,6.358,pen,6.958,desks,7.558,bag,8.158,chairs,9.0,white,9.358,bag,9.958,toy,11.0,chairs,11.0,shoe,12.0
m_noise__ild_0__itd_50__targ_l__control_0,2,Masker,noise,1.558,noise,2.308,noise,2.908,noise,3.508,noise,3.958,noise,4.708,noise,5.158,noise,5.758,noise,6.508,noise,7.108,noise,7.708,noise,8.308,noise,8.758,noise,9.508,noise,10.108,noise,10.558,noise,11.158,noise,11.758
m_noise__ild_0__itd_50__targ_l__control_0,3,Target,tables,2.0,hat,2.0,hat,2.758,chairs,3.358,desks,4.0,card,4.558,pen,5.158,card,5.758,bag,7.0,white,6.958,card,8.0,sock,8.0,desks,9.0,green,9.358,spoons,9.958,pen,10.558,red,11.0,desks,11.758
