S,Trig,Condition
500,4,m_noise__ild_0__itd_50__targ_r
500,5,m_speech__ild_0__itd_500__targ_r
500,6,m_speech__ild_10__itd_0__targ_l
500,7,m_speech__ild_0__itd_50__targ_r
500,8,m_noise__ild_0__itd_500__targ_r
500,9,m_speech__ild_0__itd_50__targ_l
500,10,m_noise__ild_0__itd_500__targ_l
500,11,m_noise__ild_10__itd_0__side_r
500,12,m_speech__ild_0__itd_500__targ_l
500,13,m_speech__ild_0__itd_500__side_l
500,14,m_speech__ild_10__itd_0__targ_r
500,15,m_noise__ild_10__itd_0__targ_l
500,16,m_noise__ild_10__itd_0__targ_r
500,17,m_noise__ild_0__itd_50__targ_l
500,18,m_speech__ild_0__itd_50__side_l
500,1,Inhale
500,2,Exhale
500,3,Hold_Breath
500,4,m_noise__ild_0__itd_50__targ_r
500,5,m_speech__ild_0__itd_500__targ_r
500,6,m_speech__ild_10__itd_0__targ_l
500,7,m_speech__ild_0__itd_50__targ_r
500,8,m_noise__ild_0__itd_500__targ_r
500,9,m_speech__ild_0__itd_50__targ_l
500,10,m_noise__ild_0__itd_500__targ_l
500,11,m_noise__ild_10__itd_0__side_r
500,12,m_speech__ild_0__itd_500__targ_l
500,13,m_speech__ild_0__itd_500__side_l
500,14,m_speech__ild_10__itd_0__targ_r
500,15,m_noise__ild_10__itd_0__targ_l
500,16,m_noise__ild_10__itd_0__targ_r
500,17,m_noise__ild_0__itd_50__targ_l
500,18,m_speech__ild_0__itd_50__side_l
500,4,m_noise__ild_0__itd_50__targ_r
500,5,m_speech__ild_0__itd_500__targ_r
500,6,m_speech__ild_10__itd_0__targ_l
500,7,m_speech__ild_0__itd_50__targ_r
500,8,m_noise__ild_0__itd_500__targ_r
500,9,m_speech__ild_0__itd_50__targ_l
500,10,m_noise__ild_0__itd_500__targ_l
500,11,m_noise__ild_10__itd_0__side_r
500,12,m_speech__ild_0__itd_500__targ_l
500,13,m_speech__ild_0__itd_500__side_l
500,14,m_speech__ild_10__itd_0__targ_r
500,15,m_noise__ild_10__itd_0__targ_l
500,16,m_noise__ild_10__itd_0__targ_r
500,17,m_noise__ild_0__itd_50__targ_l
500,18,m_speech__ild_0__itd_50__side_l
500,1,Inhale
500,2,Exhale
500,3,Hold_Breath
500,4,m_noise__ild_0__itd_50__targ_r
500,5,m_speech__ild_0__itd_500__targ_r
500,6,m_speech__ild_10__itd_0__targ_l
500,7,m_speech__ild_0__itd_50__targ_r
500,8,m_noise__ild_0__itd_500__targ_r
500,9,m_speech__ild_0__itd_50__targ_l
500,10,m_noise__ild_0__itd_500__targ_l
500,11,m_noise__ild_10__itd_0__side_r
500,12,m_speech__ild_0__itd_500__targ_l
500,13,m_speech__ild_0__itd_500__side_l
500,14,m_speech__ild_10__itd_0__targ_r
500,15,m_noise__ild_10__itd_0__targ_l
500,16,m_noise__ild_10__itd_0__targ_r
500,17,m_noise__ild_0__itd_50__targ_l
500,18,m_speech__ild_0__itd_50__side_l
NDARVW965MG1,4,m_noise__ild_0__itd_50__targ_r
NDARVW965MG1,5,m_speech__ild_0__itd_500__targ_r
NDARVW965MG1,6,m_speech__ild_10__itd_0__targ_l
NDARVW965MG1,7,m_speech__ild_0__itd_50__targ_r
NDARVW965MG1,8,m_noise__ild_0__itd_500__targ_r
NDARVW965MG1,9,m_speech__ild_0__itd_50__targ_l
NDARVW965MG1,10,m_noise__ild_0__itd_500__targ_l
NDARVW965MG1,11,m_speech__ild_0__itd_500__targ_l
NDARVW965MG1,12,m_speech__ild_10__itd_0__targ_r
NDARVW965MG1,13,m_noise__ild_10__itd_0__targ_l
NDARVW965MG1,14,m_noise__ild_10__itd_0__targ_r
NDARVW965MG1,15,m_noise__ild_0__itd_50__targ_l
NDARVW965MG1,1,Inhale
NDARVW965MG1,2,Exhale
NDARVW965MG1,3,Hold_Breath
NDARVW965MG1,4,m_noise__ild_0__itd_50__targ_r
NDARVW965MG1,5,m_speech__ild_0__itd_500__targ_r
NDARVW965MG1,6,m_speech__ild_10__itd_0__targ_l
NDARVW965MG1,7,m_speech__ild_0__itd_50__targ_r
NDARVW965MG1,8,m_noise__ild_0__itd_500__targ_r
NDARVW965MG1,9,m_speech__ild_0__itd_50__targ_l
NDARVW965MG1,10,m_noise__ild_0__itd_500__targ_l
NDARVW965MG1,11,m_speech__ild_0__itd_500__targ_l
NDARVW965MG1,12,m_speech__ild_10__itd_0__targ_r
NDARVW965MG1,13,m_noise__ild_10__itd_0__targ_l
NDARVW965MG1,14,m_noise__ild_10__itd_0__targ_r
NDARVW965MG1,15,m_noise__ild_0__itd_50__targ_l
NDARYZ656HJ9,4,m_noise__ild_0__itd_50__targ_r
NDARYZ656HJ9,5,m_speech__ild_0__itd_500__targ_r
NDARYZ656HJ9,6,m_speech__ild_10__itd_0__targ_l
NDARYZ656HJ9,7,m_speech__ild_0__itd_50__targ_r
NDARYZ656HJ9,8,m_noise__ild_0__itd_500__targ_r
NDARYZ656HJ9,9,m_speech__ild_0__itd_50__targ_l
NDARYZ656HJ9,10,m_noise__ild_0__itd_500__targ_l
NDARYZ656HJ9,11,m_speech__ild_0__itd_500__targ_l
NDARYZ656HJ9,12,m_speech__ild_10__itd_0__targ_r
NDARYZ656HJ9,13,m_noise__ild_10__itd_0__targ_l
NDARYZ656HJ9,14,m_noise__ild_10__itd_0__targ_r
NDARYZ656HJ9,15,m_noise__ild_0__itd_50__targ_l
NDARYZ656HJ9,1,Inhale
NDARYZ656HJ9,2,Exhale
NDARYZ656HJ9,3,Hold_Breath
NDARYZ656HJ9,4,m_noise__ild_0__itd_50__targ_r
NDARYZ656HJ9,5,m_speech__ild_0__itd_500__targ_r
NDARYZ656HJ9,6,m_speech__ild_10__itd_0__targ_l
NDARYZ656HJ9,7,m_speech__ild_0__itd_50__targ_r
NDARYZ656HJ9,8,m_noise__ild_0__itd_500__targ_r
NDARYZ656HJ9,9,m_speech__ild_0__itd_50__targ_l
NDARYZ656HJ9,10,m_noise__ild_0__itd_500__targ_l
NDARYZ656HJ9,11,m_speech__ild_0__itd_500__targ_l
NDARYZ656HJ9,12,m_speech__ild_10__itd_0__targ_r
NDARYZ656HJ9,13,m_noise__ild_10__itd_0__targ_l
NDARYZ656HJ9,14,m_noise__ild_10__itd_0__targ_r
