OriginalVariableNames,Var1,Var2,Var3,Var4
Var1,0.0740740740740741,0.001,0.04,0.107142857142857
Var2,0.153846153846154,0.0416666666666667,0.125,0.05
Var3,0.0869565217391304,0.001,0.703703703703704,0.0416666666666667
Var4,0.001,0.12,0.166666666666667,0.1
Var5,0.0434782608695652,0.136363636363636,0.12,0.001
Var6,0.001,0.04,0.08,0.272727272727273
Var7,0.04,0.001,0.105263157894737,0.0416666666666667
Var8,0.0869565217391304,0.0416666666666667,0.208333333333333,0.001
Var9,0.115384615384615,0.136363636363636,0.001,0.0740740740740741
Var10,0.001,0.05,0.363636363636364,0.0344827586206897
Var11,0.0526315789473684,0.001,0.318181818181818,0.0454545454545455
Var12,0.001,0.142857142857143,0.173913043478261,0.08
Var13,0.0416666666666667,0.037037037037037,0.285714285714286,0.001
Var14,0.037037037037037,0.0357142857142857,0.04,0.0416666666666667
Var15,0.0416666666666667,0.0909090909090909,0.782608695652174,0.0434782608695652
Var16,0.0434782608695652,0.001,0.125,0.0909090909090909
Var17,0.0769230769230769,0.05,0.166666666666667,0.0384615384615385
Var18,0.001,0.001,0.833333333333333,0.001
Var19,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.001
Var20,0.0454545454545455,0.08,0.625,0.1
Var21,0.0869565217391304,0.0416666666666667,0.727272727272727,0.115384615384615
Var22,0.0526315789473684,0.0416666666666667,0.0833333333333333,0.0434782608695652
Var23,0.0434782608695652,0.001,0.0869565217391304,0.001
Var24,0.001,0.0454545454545455,0.642857142857143,0.001
Var25,0.04,0.0416666666666667,0.166666666666667,0.001
Var26,0.0714285714285714,0.04,0.851851851851852,0.001
Var27,0.0434782608695652,0.001,0.001,0.0434782608695652
Var28,0.001,0.001,0.001,0.0416666666666667
Var29,0.0476190476190476,0.001,0.181818181818182,0.001
Var30,0.001,0.0434782608695652,0.0833333333333333,0.001
