OriginalVariableNames,Var1,Var2,Var3,Var4
Var1,3.34642410682704,4.65269574808168,3.57846739430606,4.65269574808168
Var2,3.54698822288819,3.39391839791898,2.20861029454863,4.65269574808168
Var3,4.65269574808168,4.65269574808168,3.13094425440114,4.65269574808168
Var4,3.39391839791898,3.89107434540264,3.00083762423692,3.11798648178422
Var5,2.03937732510194,3.60789943958544,3.16796910761376,3.32949584170338
Var6,2.44053316836227,3.70934200114148,3.00083762423692,3.1864376360461
Var7,3.47669725441685,4.65269574808168,3.16796910761376,4.65269574808168
Var8,3.51317930679666,4.65269574808168,3.86046841839339,4.65269574808168
Var9,2.07300077090504,4.65269574808168,3.11798648178422,2.81512428515551
Var10,4.65269574808168,3.29376944014254,1.22694169998048,2.30069876075202
Var11,2.7570751733363,4.65269574808168,2.30069876075202,3.29376944014254
Var12,2.40999960794797,3.82743382008487,2.09936191196922,2.42126710337142
Var13,3.16796910761376,4.65269574808168,4.65269574808168,3.39391839791898
Var14,1.8019473613328,3.21349443305972,3.94620413267911,3.16796910761376
Var15,4.65269574808168,2.91580367189062,1.83134014948609,4.65269574808168
Var16,3.51317930679666,4.65269574808168,4.65269574808168,3.99473906798792
Var17,3.94620413267911,4.65269574808168,2.68128701644526,3.60789943958544
Var18,4.65269574808168,3.34642410682704,3.16796910761376,3.94620413267911
Var19,2.24269614013371,3.82743382008487,4.65269574808168,3.43711949067763
Var20,4.65269574808168,3.99473906798792,3.79158166672636,3.29376944014254
Var21,3.47669725441685,4.65269574808168,0,2.50636024383355
Var22,1.94895593021229,3.20249072328768,2.18267461587283,3.36278126353463
Var23,3.47669725441685,3.66152561015978,3.39391839791898,3.86046841839339
Var24,3.79158166672636,3.47669725441685,1.51304321512062,3.34642410682704
Var25,2.86774295916993,3.32949584170338,2.2568724004289,2.40013914784911
Var26,3.89107434540264,4.65269574808168,2.66238601441266,4.65269574808168
Var27,2.66238601441266,4.65269574808168,4.65269574808168,4.65269574808168
Var28,1.85275990831692,3.86046841839339,3.57846739430606,3.89107434540264
Var29,3.00083762423692,3.47669725441685,2.34270717961694,3.06266379141697
Var30,3.57846739430606,3.1294529427236,3.89107434540264,4.65269574808168
