OriginalVariableNames,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
all_object_rates_collapsed1,0.0714285714285714,0.0677966101694915,0.032258064516129,0.107142857142857,0.0285714285714286,0.0625,0.0666666666666667,0.0512820512820513
all_object_rates_collapsed2,0.0384615384615385,0.0555555555555556,0.135593220338983,0.0701754385964912,0.0588235294117647,0.0882352941176471,0.0540540540540541,0.0526315789473684
all_object_rates_collapsed3,0.0408163265306122,0.001,0.0384615384615385,0.0508474576271186,0.0810810810810811,0.075,0.108108108108108,0.001
all_object_rates_collapsed4,0.0819672131147541,0.0363636363636364,0.001,0.0178571428571429,0.0789473684210526,0.0952380952380952,0.0571428571428571,0.0487804878048781
all_object_rates_collapsed5,0.0727272727272727,0.0169491525423729,0.087719298245614,0.105263157894737,0.0303030303030303,0.0512820512820513,0.0588235294117647,0.0882352941176471
all_object_rates_collapsed6,0.001,0.0344827586206897,0.0909090909090909,0.0727272727272727,0.001,0.0571428571428571,0.0857142857142857,0.0303030303030303
all_object_rates_collapsed7,0.0862068965517241,0.105263157894737,0.05,0.0714285714285714,0.0606060606060606,0.001,0.1,0.0606060606060606
all_object_rates_collapsed8,0.0689655172413793,0.107142857142857,0.0392156862745098,0.0508474576271186,0.0512820512820513,0.001,0.0512820512820513,0.0952380952380952
all_object_rates_collapsed9,0.0517241379310345,0.0612244897959184,0.120689655172414,0.101694915254237,0.0540540540540541,0.09375,0.032258064516129,0.0789473684210526
all_object_rates_collapsed10,0.0714285714285714,0.0517241379310345,0.137254901960784,0.109090909090909,0.0588235294117647,0.0666666666666667,0.135135135135135,0.001
all_object_rates_collapsed11,0.087719298245614,0.0338983050847458,0.0576923076923077,0.0377358490566038,0.0294117647058824,0.0512820512820513,0.0555555555555556,0.001
all_object_rates_collapsed12,0.04,0.0666666666666667,0.0526315789473684,0.0185185185185185,0.0857142857142857,0.05,0.0588235294117647,0.0227272727272727
all_object_rates_collapsed13,0.0333333333333333,0.0555555555555556,0.0576923076923077,0.0384615384615385,0.0333333333333333,0.0476190476190476,0.0512820512820513,0.032258064516129
all_object_rates_collapsed14,0.113207547169811,0.0892857142857143,0.0588235294117647,0.0526315789473684,0.001,0.111111111111111,0.0344827586206897,0.0555555555555556
all_object_rates_collapsed15,0.0333333333333333,0.0377358490566038,0.0535714285714286,0.0357142857142857,0.0571428571428571,0.0263157894736842,0.0789473684210526,0.0571428571428571
all_object_rates_collapsed16,0.032258064516129,0.0566037735849057,0.0535714285714286,0.0612244897959184,0.0277777777777778,0.025,0.0277777777777778,0.0909090909090909
all_object_rates_collapsed17,0.0163934426229508,0.02,0.037037037037037,0.001,0.131578947368421,0.027027027027027,0.0263157894736842,0.105263157894737
all_object_rates_collapsed18,0.0862068965517241,0.037037037037037,0.0408163265306122,0.0178571428571429,0.133333333333333,0.0857142857142857,0.0256410256410256,0.001
all_object_rates_collapsed19,0.0172413793103448,0.0392156862745098,0.0754716981132075,0.0350877192982456,0.001,0.121951219512195,0.0512820512820513,0.0526315789473684
all_object_rates_collapsed20,0.0491803278688525,0.0181818181818182,0.0384615384615385,0.106060606060606,0.0909090909090909,0.0689655172413793,0.184210526315789,0.0434782608695652
all_object_rates_collapsed21,0.127272727272727,0.0983606557377049,0.0740740740740741,0.0508474576271186,0.027027027027027,0.0571428571428571,0.162162162162162,0.027027027027027
all_object_rates_collapsed22,0.0819672131147541,0.0508474576271186,0.05,0.0961538461538462,0.0526315789473684,0.0277777777777778,0.1,0.0789473684210526
all_object_rates_collapsed23,0.0178571428571429,0.0175438596491228,0.001,0.0784313725490196,0.0285714285714286,0.001,0.001,0.0294117647058824
all_object_rates_collapsed24,0.0175438596491228,0.0175438596491228,0.001,0.0327868852459016,0.0625,0.0540540540540541,0.0769230769230769,0.0454545454545455
all_object_rates_collapsed25,0.0338983050847458,0.0333333333333333,0.001,0.001,0.001,0.0294117647058824,0.0697674418604651,0.001
all_object_rates_collapsed26,0.0181818181818182,0.0714285714285714,0.0625,0.0185185185185185,0.0357142857142857,0.0277777777777778,0.222222222222222,0.0540540540540541
all_object_rates_collapsed27,0.0192307692307692,0.0169491525423729,0.0178571428571429,0.001,0.0526315789473684,0.0555555555555556,0.001,0.001
all_object_rates_collapsed28,0.0166666666666667,0.001,0.0185185185185185,0.0192307692307692,0.032258064516129,0.0571428571428571,0.0285714285714286,0.001
all_object_rates_collapsed29,0.001,0.0363636363636364,0.0181818181818182,0.0416666666666667,0.0263157894736842,0.0263157894736842,0.001,0.001
all_object_rates_collapsed30,0.0491803278688525,0.0333333333333333,0.0344827586206897,0.0727272727272727,0.0303030303030303,0.0263157894736842,0.1,0.001
